Hostname,Serial number,OS version,Device type,Manufacturer,Model,Last seen,,
9037DVR001,System Serial Number,Windows 10,Workstation,ASUS,System Product Name,2023-08-22T07:00:00Z,,
9037DVR002,System Serial Number,Windows 10,Workstation,ASUS,System Product Name,2023-08-22T06:00:00Z,,
9900DVR001,System Serial Number,Windows 10,Workstation,ASUS,System Product Name,2023-08-22T06:00:00Z,,
Artbuying,XNVQFN7P2N,Monterey (12),Workstation,Apple Inc.,"Mac13,1",2023-08-22T07:00:00Z,,
ATLWSSINDF21,8CC8341VW2,Windows 10,Workstation,HP,HP ProDesk 400 G4 DM,2023-08-22T07:00:00Z,,Total Assets
ATLWSSINDH01,8CC8341VW8,Windows 10,Workstation,HP,HP ProDesk 400 G4 DM,2023-08-22T06:00:00Z,,358
B5PHGH2,B5PHGH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-21T17:00:00Z,,
BB8,F5KQH0KQF694,Mojave (10.14),Workstation,Apple Inc.,"MacPro6,1",2023-08-22T06:00:00Z,,
CanonIPC850,To be filled by O.E.M.,Windows 10,Workstation,To be filled by O.E.M.,S5535,2023-08-22T06:00:00Z,,
CDHWSSINDV01,8CC8341VM1,Windows 10,Workstation,HP,HP ProDesk 400 G4 DM,2023-08-22T06:00:00Z,,
COLWBASECCP03,VMware-42 24 f6 ae cc 26 f3 87-f1 70 8f 6b ef a9 fa 33,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-15T22:00:00Z,,
COLWBASECCT04,VMware-42 24 ec 5a ec dc c8 cc-f9 45 c9 86 2d 2f bf e4,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-21T09:00:00Z,,
COLWEVDIHARP01,VMware-42 24 6d 32 bf 33 e1 f7-69 23 5f 65 ee 0c 18 d6,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T18:47:30Z,,
COLWEVDIHART01,VMware-42 24 45 ba 7c b2 22 d9-c3 51 c8 a2 64 dd 99 86,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-21T10:00:00Z,,
COLWEVDIHART01,VMware-42 24 45 ba 7c b2 22 d9-c3 51 c8 a2 64 dd 99 86,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-21T06:00:00Z,,
COLWEVDIHART01,VMware-42 24 45 ba 7c b2 22 d9-c3 51 c8 a2 64 dd 99 86,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T14:24:39Z,,
COLWEVDIITSDP01,VMware-42 0b 63 e8 16 13 89 25-cb 6c 51 57 cb d4 c0 bf,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T17:00:00Z,,
COLWEVDIITSDT01,VMware-42 24 b7 fb eb c8 96 40-54 e4 9e 2b a3 f0 46 6b,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-21T10:00:00Z,,
COLWEVDISLCP03,VMware-42 24 c7 b5 54 47 fc 13-00 cc 7a a6 0b 94 bb c0,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-08T20:00:00Z,,
COLWEVDISLCP04,VMware-42 24 9f f6 ea 1e 41 1a-a8 7f 6f 03 0e 3f e4 bc,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-08T20:00:00Z,,
COLWSSINDF11,MJ0K3M6T,Windows 10,Workstation,LENOVO,11DQS4GB00,2023-08-22T07:00:00Z,,
COLWSSINDF11,MJ0K3M6T,Windows 10,Workstation,LENOVO,11DQS4GB00,2023-08-17T20:00:00Z,,
COLWSSINDF11,5FCDMF2,Windows 10,Workstation,Dell Inc.,OptiPlex 7040,2023-08-17T19:00:00Z,,
COLWSSINDF12,MJ0K3M8N,Windows 10,Workstation,LENOVO,11DQS4GB00,2023-08-22T06:00:00Z,,
COLWSSINDF21,MJ0K3M0G,Windows 10,Workstation,LENOVO,11DQS4GB00,2023-08-22T06:00:00Z,,
COLWSSINDH01,MJ0K3M7N,Windows 10,Workstation,LENOVO,11DQS4GB00,2023-08-22T07:00:00Z,,
COLWSSINDV02,MJ0K3M2P,Windows 10,Workstation,LENOVO,11DQS4GB00,2023-08-22T06:00:00Z,,
COLWSSINDV02,MJ0K3M2P,Windows 10,Workstation,LENOVO,11DQS4GB00,2023-08-19T17:00:00Z,,
COLWSSINDV02,CNMHMF2,Windows 10,Workstation,Dell Inc.,OptiPlex 7040,2023-08-22T07:00:00Z,,
COLWSSINDV04,MJ0K3M2F,Windows 10,Workstation,LENOVO,11DQS4GB00,2023-08-22T06:00:00Z,,
COLWSSINDV04,MJ0K3M2F,Windows 10,Workstation,LENOVO,11DQS4GB00,2023-08-19T18:00:00Z,,
COLWSSINDV04,DPCHMF2,Windows 10,Workstation,Dell Inc.,OptiPlex 7040,2023-08-22T06:00:00Z,,
COLWSSINDV06,GZ38XD2,Windows 10,Workstation,Dell Inc.,OptiPlex 7040,2023-08-22T07:00:00Z,,
COLWSSINDV07,4P3KMF2,Windows 10,Workstation,Dell Inc.,OptiPlex 7040,2023-08-22T06:00:00Z,,
ENDPTMBL01,BMJ8333,Windows 10,Workstation,Dell Inc.,OptiPlex 3070,2023-08-22T06:00:00Z,,
fms2023.jcpenney.com,T56LR3WL7M,Monterey (12),Workstation,Apple Inc.,"Mac13,1",2023-08-22T07:00:00Z,,
fms904.jcpenney.com,F5KSH09LF694,Mojave (10.14),Workstation,Apple Inc.,"MacPro6,1",2023-08-22T07:00:00Z,,
FMS904TEST.local,C07K207DDY3H,Mojave (10.14),Workstation,Apple Inc.,"Macmini6,2",2023-08-22T06:00:00Z,,
IMGSVRDEL,INA931WW28,Windows 10,Workstation,HP,HP ProDesk 600 G4 SFF,2023-08-22T06:00:00Z,,
IMGSVRHKG,1CZ84803K7,Windows 10,Workstation,HP,HP ProDesk 600 G4 SFF,2023-08-22T06:00:00Z,,
IMGSVRSHA,4CV8500R9P,Windows 10,Workstation,HP,HP ProDesk 600 G4 SFF,2023-08-22T07:00:00Z,,
IT1027716831,VMware-42 24 31 d2 ba 80 64 44-bb 3a 77 a4 dc da 0f bd,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-25T08:13:14Z,,
IT1121461717,VMware-42 24 92 13 89 fb 0d 92-88 1d df 96 d9 76 34 f9,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-02T16:37:40Z,,
IT1132128063,VMware-42 3d 33 ed bb 7b 0b 61-33 93 d3 d1 ec 9d 08 9d,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-24T06:37:45Z,,
IT1163732494,VMware-42 3d 1c 71 df 5f c8 cd-b4 e7 b5 f6 50 41 b1 92,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T14:21:31Z,,
IT1196347816,VMware-42 3d f0 ed 95 d5 0a 55-a4 55 88 12 b5 af f4 32,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T14:33:04Z,,
IT1217066651,VMware-42 24 3c 70 c8 2f 72 f0-ba bb d6 66 0b 4c 90 b7,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T16:45:26Z,,
IT1247904272,VMware-42 24 11 41 3e 64 3b 7b-d5 01 c7 9a 40 19 3b 73,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T15:00:00Z,,
IT1252202889,VMware-42 24 49 be 35 6b 58 61-f3 5a e6 fe 40 f8 92 17,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-03T18:10:06Z,,
IT1308124960,VMware-42 24 55 fd 18 13 57 83-6b bf 8b 11 86 a0 0f 1e,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-15T16:17:15Z,,
IT134073459,VMware-42 2c 66 1e 52 72 ec 1a-66 7e 9f 55 81 e2 bd 9b,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T19:08:43Z,,
IT135381296,VMware-42 0b 79 c6 13 52 2d 45-d8 9d ef db a1 4c 10 7c,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-29T07:00:00Z,,
IT1358907248,VMware-42 24 0d b9 56 a5 19 0c-c7 cc d5 23 b0 9e 59 2e,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-03T16:18:11Z,,
IT1370353001,VMware-42 24 85 7e e1 1c 77 6a-b1 c6 ae a1 8a 01 6e ad,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-26T18:23:11Z,,
IT1383849733,VMware-42 0b f9 fb 6a 05 c7 34-a1 08 e9 db 27 7f d6 a4,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T19:11:29Z,,
IT1479925031,VMware-42 24 84 49 88 0e 68 b4-d5 03 4d b8 98 39 89 86,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-27T20:23:31Z,,
IT1504500049,VMware-42 0b 01 45 57 49 f0 cd-d9 f3 79 1f 54 94 33 6e,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-29T07:00:00Z,,
IT1505412194,VMware-42 0b 2a 4a 28 e0 43 c2-8b f7 93 c5 ab c4 57 ad,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-29T06:00:00Z,,
IT1594134417,VMware-42 24 21 86 ff 33 95 ac-3f 3b 00 b2 ae 8a 05 a6,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-31T15:47:45Z,,
IT1675085601,VMware-42 3d 1e ce 22 4c 78 c1-53 7b 05 cc 0a f9 82 13,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-25T17:00:00Z,,
IT1719176705,VMware-42 2c 7c ff 98 e9 05 87-82 10 2d 4b 31 f1 55 40,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-10T15:45:59Z,,
IT1737722046,VMware-42 2c e0 e5 a9 cf 72 e7-d7 85 d2 89 b1 ee f5 59,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-09T16:00:00Z,,
IT1791292963,VMware-42 24 f1 40 1f cb fd 22-12 55 b1 2b be f5 40 ef,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-15T17:25:25Z,,
IT1852536967,VMware-42 24 2b 98 73 95 13 65-5c 8c 2f 9a f8 4b f7 83,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-26T18:58:33Z,,
IT1900659615,VMware-42 0b 45 21 3e 5b 75 0e-8e bf ee e4 cf c9 f8 d5,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-29T19:31:38Z,,
IT1943696946,VMware-42 24 d3 ea 03 23 45 a8-18 28 cf 64 98 f3 69 f3,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-27T18:56:20Z,,
IT2046062599,VMware-42 24 ca 5a 78 b7 13 7b-3b 1b 10 b1 2e f0 4e 45,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-03T15:02:28Z,,
IT2057934482,VMware-42 24 4a 0b 9c 79 b0 8d-41 af c5 0e 8a 8c ce 6b,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T02:16:11Z,,
IT2077794087,VMware-42 24 02 97 90 8c d3 33-71 b3 75 2d 33 6a 4b 5e,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-26T18:00:00Z,,
IT2114698757,VMware-42 3d ba 1c 0c 9e ec c4-a5 4b a9 0b c1 be 57 15,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T16:29:53Z,,
IT258851402,VMware-42 24 8e 5f c4 91 9a 1b-c0 b0 dd d7 d6 37 76 4f,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-02T21:39:21Z,,
IT289270508,VMware-42 24 77 dd 96 20 a3 83-d5 36 5b 5f 7c 85 43 a2,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-25T08:12:34Z,,
IT321746441,VMware-42 0b 9a cd 7e 04 a8 a0-8b 09 b1 af 49 4c 86 62,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-10T15:46:56Z,,
IT344445203,VMware-42 0b cb 95 e0 36 d5 35-82 9d 17 2d 51 90 2a bf,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-29T07:00:00Z,,
IT386133896,VMware-42 2c c9 2f 5c 92 c9 92-1d 95 b7 e1 91 3d 32 41,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-09T14:00:00Z,,
IT400851699,VMware-42 2c 34 9e 09 ec e4 ec-c2 e3 42 86 8c 11 e5 da,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-15T22:56:16Z,,
IT414752042,VMware-42 0b 92 99 ca 31 55 96-e9 56 f7 ba 5f 50 e7 57,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T19:07:57Z,,
IT429046146,VMware-42 24 41 6b 2d 67 f1 23-47 19 5b 15 4d 8b fa cb,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-03T00:04:46Z,,
IT433216412,VMware-42 24 09 58 8c 72 ed d3-0d ce bf fa e0 f3 8d a6,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T14:14:06Z,,
IT489196316,VMware-42 24 bb 40 65 81 c2 d8-c6 ac e4 85 54 cb df b2,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-15T20:25:47Z,,
IT580489831,VMware-42 0b 5d a5 54 83 a6 39-1b dd b4 95 58 6e 39 bd,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-15T22:55:11Z,,
IT603417631,VMware-42 3d cc 1f 1c 96 4b 5c-b9 ad 3b 19 52 d0 da 46,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-24T10:19:57Z,,
IT649579777,VMware-42 3d 24 b3 7a ba cc 25-41 3e 41 be a6 da c1 3e,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T14:47:15Z,,
IT680407931,VMware-42 3d 44 7b 6b b2 f2 25-97 1b 3e c5 0c 16 1f 65,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-25T09:03:07Z,,
IT68605483,VMware-42 24 55 4a 05 d3 a2 fa-20 3b 89 43 ee ca d5 91,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-14T20:29:49Z,,
IT75084932,VMware-42 24 7d d1 2f 69 b0 26-1d 89 aa 17 e9 85 0e c3,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-26T14:50:11Z,,
IT80855808,VMware-42 3d 3a 65 56 9d b9 5b-37 bc 54 0f 5b 0d 27 83,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T17:01:23Z,,
IT86103151,VMware-42 24 65 72 a3 16 ec c1-95 a2 e8 d6 6b ef b7 d9,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-25T06:38:40Z,,
IT873268983,VMware-42 2c 91 fe 38 74 26 fd-27 a0 69 ed 1e eb c1 b7,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T19:38:55Z,,
IT92680863,VMware-42 0b 41 34 46 e7 5d ec-aa 40 97 e7 5d 59 44 fe,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T20:27:09Z,,
IT951545918,VMware-42 2c 44 50 0d fd 1a 22-2a cd 81 3d c3 7d cc a8,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T19:28:42Z,,
IT967469826,VMware-42 2c bb cf 74 12 9c d4-73 c9 51 47 08 78 8e b1,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-29T20:15:02Z,,
IT973414283,VMware-42 24 97 b4 c4 b8 48 39-d8 37 70 9c 1f e3 5e 0a,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T17:06:39Z,,
IT995196164,VMware-42 2c 64 00 2a 70 97 6f-a9 82 94 5b c7 ce b2 a0,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-29T20:00:00Z,,
IT999445062,VMware-42 24 98 3e e5 4b b3 8f-19 a4 51 32 67 17 e4 ed,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T14:38:42Z,,
JCPAdminStudio,N7Q4564WGX,Ventura (13),Workstation,Apple Inc.,"Mac13,1",2023-08-18T13:00:00Z,,
JCPSI0P6M,KW60P6M914,Monterey (12),Workstation,Apple Inc.,"MacBookPro18,1",2023-08-22T06:00:00Z,,
JCPSI121W,FQ3121WH07,Monterey (12),Workstation,Apple Inc.,"MacBookPro18,1",2023-08-22T06:00:00Z,,
JCPSI142Z,PC0E142Z,Windows 10,Workstation,LENOVO,20FMA0A5IG,2023-08-22T05:00:00Z,,
JCPSI1431,PC0E1431,Windows 10,Workstation,LENOVO,20FMA0A5IG,2023-08-21T17:00:00Z,,
JCPSI143A,PC0E143A,Windows 10,Workstation,LENOVO,20FMA0A5IG,2023-08-22T06:00:00Z,,
JCPSI14GY,L4014GYH2K,Monterey (12),Workstation,Apple Inc.,"MacBookPro18,1",2023-08-22T06:00:00Z,,
JCPSI15SMPH2,15SMPH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T06:00:00Z,,
JCPSI1R88GH2,1R88GH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T05:00:00Z,,
JCPSI1RPNPH2,1RPNPH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T06:00:00Z,,
JCPSI1WXGPH2,1WXGPH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T05:00:00Z,,
JCPSI1ZHNPH2,1ZHNPH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T07:00:00Z,,
JCPSI22D9GH2,22D9GH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T06:00:00Z,,
JCPSI24RGPH2,24RGPH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-07-27T06:00:00Z,,
JCPSI2616,YKG2616NXC,Ventura (13),Workstation,Apple Inc.,"MacBookPro18,1",2023-07-28T15:00:00Z,,
JCPSI2FF8LH2,2FF8LH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T07:00:00Z,,
JCPSI2K3HPH2,2K3HPH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T06:00:00Z,,
JCPSI2KLMPH2,2KLMPH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T06:00:00Z,,
JCPSI2S1JGH2,2S1JGH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-07T09:00:00Z,,
JCPSI2SPNPH2,2SPNPH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T07:00:00Z,,
JCPSI30V8GH2,30V8GH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T06:00:00Z,,
JCPSI35JNPH2,35JNPH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T07:00:00Z,,
JCPSI369C,J03369CRXH,Ventura (13),Workstation,Apple Inc.,"Mac14,10",2023-07-29T16:00:00Z,,
JCPSI37N8GH2,37N8GH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T07:00:00Z,,
JCPSI39SMPH2,39SMPH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T06:00:00Z,,
JCPSI3NFHPH2,3NFHPH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-22T06:00:00Z,,
JCPSI3QG8GH2,3QG8GH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-07-12T12:00:00Z,,
JCPSI3RK8,PC0E3RK8,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-21T04:00:00Z,,
JCPSI3RK9,PC0E3RK9,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T07:00:00Z,,
JCPSI3RKB,PC0E3RKB,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T06:00:00Z,,
JCPSI3RKC,PC0E3RKC,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-07-10T09:00:00Z,,
JCPSI3RKF,PC0E3RKF,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T06:00:00Z,,
JCPSI3RKG,PC0E3RKG,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T06:00:00Z,,
JCPSI3RKH,PC0E3RKH,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T06:00:00Z,,
JCPSI3RKJ,PC0E3RKJ,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-10T11:00:00Z,,
JCPSI3RKL,PC0E3RKL,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T07:00:00Z,,
JCPSI3RKN,PC0E3RKN,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T06:00:00Z,,
JCPSI3RKQ,PC0E3RKQ,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T07:00:00Z,,
JCPSI3RKR,PC0E3RKR,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T07:00:00Z,,
JCPSI3RKS,PC0E3RKS,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T07:00:00Z,,
JCPSI3RKT,PC0E3RKT,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T07:00:00Z,,
JCPSI3RKU,PC0E3RKU,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T06:00:00Z,,
JCPSI3RKV,PC0E3RKV,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T07:00:00Z,,
JCPSI3RKW,PC0E3RKW,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T06:00:00Z,,
JCPSI3RKY,PC0E3RKY,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T07:00:00Z,,
JCPSI3S6F,PG033S6F,Windows 10,Workstation,LENOVO,20TA00J2IG,2023-08-22T05:00:00Z,,
JCPSI44V8GH2,44V8GH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-21T05:00:00Z,,
JCPSI4H1F,JCY4H1F6N4,Monterey (12),Workstation,Apple Inc.,"MacBookPro18,1",2023-08-22T06:00:00Z,,
JCPSI514M,C02T514MH03Y,Big Sur (11.0),Workstation,Apple Inc.,"MacBookPro13,3",2023-08-22T07:00:00Z,,
JCPSI514N,C02T514NH03Y,Catalina (10.15),Workstation,Apple Inc.,"MacBookPro13,3",2023-08-22T06:00:00Z,,
JCPSI5151,C02T5151H03Y,Mojave (10.14),Workstation,Apple Inc.,"MacBookPro13,3",2023-08-21T12:00:00Z,,
JCPSI51PF,C02V51PFHTD6,Mojave (10.14),Workstation,Apple Inc.,"MacBookPro14,3",2023-08-22T06:00:00Z,,
JCPSI51T4,C02V51T4HTD6,Big Sur (11.0),Workstation,Apple Inc.,"MacBookPro14,3",2023-08-22T06:00:00Z,,
JCPSI51US,C02V51USHTD6,Big Sur (11.0),Workstation,Apple Inc.,"MacBookPro14,3",2023-08-22T06:00:00Z,,
JCPSI58N8GH2,58N8GH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-01T17:00:00Z,,
JCPSI59Z3,GM0859Z3,Windows 10,Workstation,LENOVO,30G0S0E200,2023-07-27T10:00:00Z,,
JCPSI59Z4,GM0859Z4,Windows 10,Workstation,LENOVO,30G0S0E200,2023-07-27T09:00:00Z,,
JCPSI5W6K,5CG0095W6K,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T07:00:00Z,,
JCPSI5W6L,5CG0095W6L,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T06:00:00Z,,
JCPSI5W6M,5CG0095W6M,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-07-11T06:00:00Z,,
JCPSI5W6P,5CG0095W6P,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T06:00:00Z,,
JCPSI5W6Q,5CG0095W6Q,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T06:00:00Z,,
JCPSI5W6R,5CG0095W6R,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T05:00:00Z,,
JCPSI5W6S,5CG0095W6S,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T07:00:00Z,,
